image_path,transcription
images\synthetic_055.jpg,(7+(8-1))
images\synthetic_088.jpg,8/4
images\synthetic_026.jpg,(3*4)
images\synthetic_042.jpg,(2+(3*4))-5
images\synthetic_069.jpg,4.5-1.5+2
images\synthetic_015.jpg,2/1
images\synthetic_040.jpg,((1+2)*3)
images\synthetic_096.jpg,(3*4)
images\synthetic_009.jpg,1-0
images\synthetic_072.jpg,4+5
images\synthetic_011.jpg,3*4
images\synthetic_047.jpg,(9-3)*(2+1)
images\synthetic_085.jpg,2/1
images\synthetic_028.jpg,(7/8)
images\synthetic_093.jpg,4**1
images\synthetic_005.jpg,9-8
images\synthetic_066.jpg,1.1+2.2-3.3
images\synthetic_065.jpg,5+(2.5*3)
images\synthetic_035.jpg,-1+2
images\synthetic_016.jpg,4/2
images\synthetic_049.jpg,4**(1+1)
images\synthetic_034.jpg,5.0**1
images\synthetic_007.jpg,5-4
images\synthetic_095.jpg,(1+2)
images\synthetic_027.jpg,(5-6)
images\synthetic_019.jpg,9/3
images\synthetic_081.jpg,3*4
images\synthetic_025.jpg,(1+2)
images\synthetic_062.jpg,(8-4)*2
images\synthetic_013.jpg,7*8
images\synthetic_024.jpg,5**0
images\synthetic_003.jpg,6+7
images\synthetic_017.jpg,6/3
images\synthetic_038.jpg,-7.0+2
images\synthetic_008.jpg,3-2
images\synthetic_078.jpg,3-2
images\synthetic_006.jpg,7-6
images\synthetic_064.jpg,10-(4+3)
images\synthetic_036.jpg,-3*4
images\synthetic_089.jpg,9/3
images\synthetic_056.jpg,9/(3+0)
images\synthetic_099.jpg,(9+0)
images\synthetic_054.jpg,4+(5*(6-2))
images\synthetic_043.jpg,6-(2+1)
images\synthetic_050.jpg,0+0
images\synthetic_067.jpg,2+(3.5/1.4)
images\synthetic_046.jpg,(6/2)+(1*3)
images\synthetic_068.jpg,3*(2.0+1.0)
images\synthetic_061.jpg,7-(2+2)+1
images\synthetic_097.jpg,(5-6)
images\synthetic_079.jpg,1-0
images\synthetic_041.jpg,((4-1)/3)
images\synthetic_058.jpg,3**(2-1)
images\synthetic_048.jpg,2+(3*4)-(1/2)
images\synthetic_098.jpg,(7/8)
images\synthetic_057.jpg,((1+1)+2)**2
images\synthetic_075.jpg,9-8
images\synthetic_032.jpg,4.4*0.5
images\synthetic_094.jpg,5**0
images\synthetic_059.jpg,(4+4)-(2*2)
images\synthetic_063.jpg,9-(1*1)
images\synthetic_084.jpg,9*0
images\synthetic_037.jpg,-(5+6)
images\synthetic_029.jpg,(9+0)
images\synthetic_001.jpg,2+3
images\synthetic_052.jpg,2*2*2
images\synthetic_021.jpg,2**3
images\synthetic_002.jpg,4+5
images\synthetic_023.jpg,4**1
images\synthetic_087.jpg,6/3
images\synthetic_091.jpg,2**3
images\synthetic_074.jpg,8+9
images\synthetic_086.jpg,4/2
images\synthetic_082.jpg,5*6
images\synthetic_020.jpg,1**2
images\synthetic_060.jpg,6+(3*3)-3
images\synthetic_071.jpg,2+3
images\synthetic_014.jpg,9*0
images\synthetic_092.jpg,3**2
images\synthetic_051.jpg,1+1+1
